年份,平均值（美元/克）,最高值（美元/克）,最低值（美元/克）
1969,1.45,1.543,1.235
1970,1.268,1.382,1.227
1971,1.439,1.549,1.317
1972,2.052,2.469,1.543
1973,3.426,4.48,2.261
1974,5.6,6.966,4.048
1975,5.674,6.57,4.541
1976,4.402,4.951,3.635
1977,5.215,5.931,4.564
1978,6.828,8.594,5.866
1979,10.829,18.483,7.638
1980,21.684,29.735,16.72
1981,16.196,21.138,13.818
1982,13.267,17.231,10.476
1983,14.946,18.042,13.219
1984,12.721,14.351,10.697
1985,11.196,11.968,10.053
1986,12.988,15.617,11.499
1987,15.762,17.734,13.848
1988,15.407,17.118,13.723
1989,13.449,14.714,12.631
1990,13.535,14.864,12.231
1991,12.781,14.24,12.116
1992,12.129,12.674,11.647
1993,12.7,14.346,11.517
1994,13.551,14.021,13.06
1995,13.547,14.002,13.138
1996,13.677,14.683,12.991
1997,11.675,12.974,9.984
1998,10.375,11.097,9.644
1999,9.836,11.508,8.921
2000,9.851,11.168,9.305
2001,9.566,10.33,9.055
2002,10.938,12.293,9.799
2003,12.834,14.718,11.279
2004,14.446,16.076,13.175
2005,15.696,18.959,14.515
2006,21.317,25.6,18.369
2007,24.565,29.691,21.457
2008,30.771,36.102,24.427
2009,34.344,42.972,28.677
2010,43.268,50.3,37.116
2011,55.491,66.896,46.42
2012,58.866,63.139,54.233
2013,49.718,59.7,42.072
2014,44.658,48.642,40.37
2015,40.877,45.785,37.023
2016,44.159,48.416,37.869
2017,44.458,47.661,40.988
2018,44.759,47.981,41.506
2019,49.148,54.413,44.799
2020,62.565,72.607,51.935
2021,63.453,68.938,59.189
2022,63.558,72.074,57.377
2023,68.536,74.607,63.89
2024,84.267,98.411,70.267
